བོད་ཕྱི་ནང་།,Tibetan Title,BO,EN,English Title,Author,Translator,བརྗོད་བྱ།,བསྒྱུར་གཞི།,དཔེ་སྐྲུན་ཁང་།,དཔར་ལོ།,ཤོག་གྲངས།,BDRC བརྩམས་ཆོས།,Translation Segment pairs
ཕྱི།,དངོས་གྲུབ་འཐོབ་བྱེད། རྣལ་འབྱོར་རྒྱུད་ཀྱི་ལམ་བགྲོད་པའི་རིམ་པ།,BO2756,EN2756,Yoga Tantra – Paths To Magical Feats,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསོད་ནམས་བྱང་ཆུབ།,,,,,,,1072
ཕྱི།,ལམ་རིམ་གསེར་ཞུན་མའི་དོན་འགྲེལ་ལེགས་བཤད་ཟླ་འོད།,BO2757,EN2757,Yoga Tantra – Paths To Magical Feats,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསོད་ནམས་བྱང་ཆུབ།,,,,,,,1958
ཕྱི།,རིག་པ་འཚོལ་བ། ཚིག་གསུམ་གནད་བརྡེག་གི་འགྲེལ་པ་བསྐལ་ལྡན་མིག་འབྱེད།,BO2758,EN2758,The Heart of Meditation Discovering Innermost Awarenes,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསོད་ནམས་བྱང་ཆུབ།,,,,,,,905
ཕྱི།,ཟབ་ཅིང་རྒྱ་ཆེ་བའི་སེམས། ཉིན་རེའི་འཚོ་བའི་ཁྲོད་ནས་རྣམ་དཔྱོད་གོང་འཕེལ་གཏོང་བ། ,BO2759,EN2759,A profound mind: Cultivating Wisdom in Everyday Life,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསོད་ནམས་བྱང་ཆུབ།,,,,,,,1122
ཕྱི།,སེམས་ཀྱི་ཚན་རིག་སྐོར་གྱི་ཤར་ནུབ་མཁས་པའི་བགྲོ་གླེང་།,BO2760,EN2760,Mind Science An East-West Dialogu,,,,,,,,,1454
ཕྱི།,འཕུར་སྐྱོད་ཀྱི་བྱུང་བ།,BO2761,EN2761,The story of flying,,,,,,,,,184
ཕྱི།,ཆ་མཐུན་གྱི་འཇིག་རྟེན། ,BO2762,EN2762,Worlds in Harmony.,,,,,,,,,539
ཕྱི།,ནང་བའི་ལམ་ལ་འཇུག་པ།,BO2763,EN2763,APPROACHING THE DUDHIST PATH,,,,,,,,,100
ཕྱི།,བྱམས་པ་དང་སྙིང་རྗེ།,BO2764,EN2764,Dalai Lama's Book of Love and Compassion ,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,ཚེ་བརྟན་བཀྲ་ཤིས།,,,,,48,,409
ཕྱི།,ཞི་བའི་ལམ་བུ། ཉིན་རེའི་སྒོམ་སྒྲུབ།,BO7766,EN7766,"THE PATH TO TRANQUILLITY Daily Meditation
",,གསེར་བྲག་ཀུན་དགའ།,,,,,93,,1218
ཕྱི།,དྲིས་ལན།,BO2768,EN2768,Answers: Discussion with Western Buddhist,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,རྐ་འོད་ཟེར།,,,,,76,,1285
ཕྱི།,མི་ཐམས་ཅད་ཡིད་ལ་སྒོམས།,BO7769,EN7769,Imagine All the People,༸རྒྱལ་དབང་སྐུ་ཕྲེང་བཅུ་བཞི་པ་ཆེན་པོ་དང་། ཨན་ནེ-བྷེན་སོན། ཧྥ་བྷི་ཨན-ཝ་ཀི།,བསོད་ནམས་རྒྱལ།,,,,,,,2514
ཕྱི།,ནིན་ཇ་དཔའ་རྟུལ་གྱི་མཚན་མོ།(གསང་བ།),BO2770,EN2770,Night of the Ninjas,,,,,,,,,708
ཕྱི།,༸ཏཱ་ལའི་བླ་མའི་ཤེས་རབ་ཀྱི་གླེགས་བུ་ཆུང་ངུ་།,BO2771,EN2771,The Dalai Lama-Book of Wisdom,,,,,,,,,26
ཕྱི།,སེམས་བསམ་པའི་གཏམ། སའི་གོ་ལར་བཅངས་པའི་རེ་བ་དང་བརྩེསེམས་ཀྱི་ཁ་བརྡ་ཞིག,BO2773,EN2773,Heart To Heart,,,,,,,,,76
ཕྱི།,༸ཏཱ་ལའི་བླ་མ། བོད་ཀྱི་ཆོས་སྲིད་གཉིས་ཀྱི་དབུ་ཁྲིད།,BO2774,EN2774,His Holiness,,,,,,,,,81
ཕྱི།,རྫོགས་ཆེན། རྫོགས་པ་ཆེན་པོའི་སྙིང་ཐིག,BO2778,EN2778,Dzogchen: Heart Essence of the Great Perfection,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསོད་ནམས་བྱང་ཆུབ།,རྫོགས་ཆེན།,,,,,,1737
ཕྱི།,ཤེས་རབ་ཀྱི་རྒྱ་མཚོ། ༼འཚོ་བའི་ལམ་སྟོན།༽,BO2781,EN2781,Ocean Of Wisdom,,,,,,,,,645
ཕྱི།,གཏུམ་འབྲུག་གི་ལུང་བ།,BO2783,EN2783,Valley of the Dinosaurs,,,,,,,,,154
ཕྱི།,བློ་སྦྱོང་ཉི་མའི་འོད་ཟེར་གྱི་བཀའ་ཁྲིད།,BO2785,EN2785,"AWAKENING THE MIND, LIGHTENING THE HEART",༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,གསེར་བྲག་ཀུན་དགའ།,བློ་སྦྱོང་།,,,,,,3164
ཕྱི།,ཤེས་རབ་དང་ཞི་བདེའི་ལམ་བུ། སྐུ་མདུན་གམ་བཅར་གྱི་གླེང་མོལ།,BO2786,EN2786,"PATH OF WISDOM, PATH OF PEACE
A PERSONAL CONVERSATION",༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,,,,,,,,2291
ཕྱི།,འཆམ་མཐུན་གྱི་འཇིག་རྟེན། བྱམས་བརྩེའི་སྐོར་གྱི་བགྲོ་གླེང་།,BO2787,EN2787,"WORLDS IN HARMONY
DIALOGUES ON COMPASSIONATE ACTION",༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,ཚེ་བརྟན་བཀྲ་ཤིས།,,,,,,,475
ཕྱི།,ནང་པ་དང་ཡེ་ཤུ་རྣམས་ལ་གནང་བའི་ཆོས་ཀྱི་བཀའ་སློབ།,BO2788,EN2788,SPIRITUAL ADVICE FOR BUDDHISTS AND CHRISTIANS,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,བསོད་ནམས་རྒྱལ།,,,,,,,776
ཕྱི།,བྱང་ཆུབ་ལམ་གྱི་རིམ་པ་ལས་དལ་འབྱོར་རྙེད་དཀའི་ཉམས་ཁྲིད་གོ་བསྐོན་གསེད་འགྲོལ།,BO7789,EN7789,Perfect Human Rebirth,,,ལམ་རིམ།,,,,,,3159
ནང་།,སྒོམ་རིམ་བར་བའི་དགོངས་འགྲེལ།,BO2791,EN2791,STAGES OF MEDITATION,༸གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག,དཀོན་མཆོག་རབ་བརྟན།,,,,,,,1633
ནང་།,ཁྲོ་བའི་མེ་དཔུང་འཇོམས་པའི་ཤེས་རབ།,BO7796,EN7796,ANGER Wisdom of cooling the flames,གནས་བརྟན་ཐིག་ནཏ་ཧཱན།,བསོད་ནམས་རྒྱལ།,,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,,,,2743
ཕྱི།,ནངས་མོའི་དམར་གདུང་།,BO2800,EN2800,Mumunies in the morning,,,,,,,,,597
ཕྱི།,ཕྱི་དྲོའི་མཚོ་ཇག,BO2801,EN2801,Osborne-Mary-Pope-Pirates-Past-Noon,,,,,,,,,687
ཕྱི།,སྲིང་མོ་དང་ང་རང་། (བྱིས་སྒྲུང་ ༤༢ ཡོད།),BO2803,EN2803,My Sister and Me,,རྐ་འོད་ཟེར།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,བོད་ཀྱི་སྒྲ་སྒྱུར་དང་ཉམས་ཞིབ་ལྷན་ཁང་།,,,,1313
ཕྱི།,ངའི་ལུས་པོ། (བྱིས་སྒྲུང་ ༡༦ ཡོད།),BO2811,EN2811,My body,,,བྱིས་སྒྲུང་།,,,,,,234
ཕྱི།,ངའི་ལྡུམ་རྭ། (བྱིས་སྒྲུང་ ༡༥ ཡོད།),BO2812,EN2812,My Garden,,,བྱིས་སྒྲུང་།,,,,,,61
ཕྱི།,ངའི་ཨ་མ་གང་དུ་ཕྱིན། (བྱིས་སྒྲུང་ ༣༨ ཡོད།),BO2813,EN2813,Where is My Mother?,,རྫ་སྲས་བདེ་ཆེན།,བྱིས་སྒྲུང་།,,,,,,1127
ཕྱི།,མཚོ་མོ་སློབ་གྲྭར་སོང་བའི་ཉིན་དང་པོ། (བྱིས་སྒྲུང་ ༡༥ ཡོད།),BO2819,EN2819,Tsomo's First Day at School,,གསེར་བྲག་ཀུན་དགའ།,,,,,,,27
ཕྱི།,ལོ་ཆུང་ཆུང་རེད། ཡང་ན་ཆེན་པོ་རེད། (བྱིས་སྒྲུང་ ༡༨ ཡོད།),BO2824,EN2824,Young or Old?,,,,,,,,,17
ཕྱི།,སྡོང་པོ། (བྱིས་སྒྲུང་ ༤༣ ཡོད།),BO7868,EN7868,the-tree,,གསེར་བྲག་ཀུན་དགའ།,,,,,,,1194
ཕྱི།,འབུམ་རམས་པའི་དཔྱད་རྩོམ་སྙིང་བསྡུས།,BO2869,EN2869,ABSTRACT,,,,,,,,,319
ཕྱི།,སྨོན་ལམ་བརྡ་འཕྲིན་ཞིབ་འཇུག་ཁང་གི་ངོ་སྤྲོད།,BO2870,EN2870,About Monlam IT Research Center,,,,,,,,,10
ཕྱི།,དགེ་བཤེས་བློ་བཟང་སྨོན་ལམ་གྱི་ལོ་རྒྱུས་མདོར་བསྡུས།,BO7871,EN7871,About Lobsang Monlam,,,,,,,,,29
ཕྱི།,རྒྱུན་སྤྱོད་སྐད་ཆ་སྣ་ཚོགས།,BO7877,EN7877,Regular Conversation List,,,,,,,,,2550
ཕྱི།,སྡོམ་ཚིག་ཀུན་བཏུས།,BO7878,EN7878,Quotes,,,,,,,,,2543
ཕྱི།,བཙན་བྱོལ་བོད་མིའི་བཅའ་ཁྲིམས།,BO2879,EN2879,The Charter of Tibetan in Exile,,,,,,,,,226
ཕྱི།,སྤྱི་མང་གཏུག་གཤེར་འགྲོ་ལུགས་ཁྲིམས་ཡིག,BO7884,EN7884,The CODE OF CIVIL PROCEDURE,,,,,,,,,769
ཕྱི།,ཁྲིམས་རྩོད་པའི་བླང་དོར་ཞུ་སྒོའི་ལམ་སྟོན།,BO7885,EN7885,Tibetan Law Counselor guidelines,,,,,,,,,55
ཕྱི།,བྱམས་བརྩེའི་འཁོར་ལོ་རྒྱ་སྐྱེད་གཏོང་བ།,BO7901,EN7901,How to Expand Love: Widening the circle of loving Relationship ,,,,,,,,,1406
ཕྱི།,བུ་མོ་གཞུང་དྲང་།,BO2902,EN2902,Honest Girl,,ངག་དབང་ནོར་བུ།,,,,,,,1085
ཕྱི།,རེ་ཕན་ཛལ།,BO7907,EN7907,Rapunzel,,,,,,,,,385
ནང་།,ལས་འབྲས།,BO2913,EN2913,Falling leaves,adeline yen mah,རླངས་ཚང་བསོད་ནམས་རྡོ་རྗེ།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,,,,,921
ནང་།,རོ་བྷོན་སོན་ཁུ་རོ་སུ།,BO7572,EN7572,Robinson Crusoe,Daniei Defoe,རླངས་ཚང་བསོད་ནམས་རྡོ་རྗེ།,སྒྲུང་གཏམ།,དབྱིན་ཡིག,,,,,420
ནང་།,མཚན་མོའི་སྲང་ལམ།,BO3141,EN3141,Missing Person (Rue des boutiques obscures),Patrick Modiano,གནམ་ལྷུན།,སྒྲུང་གཏམ།,རྒྱ་ཡིག,ཡུན་ནན་རིག་གནས་སྒྱུ་རྩལ་པར་སྐྲུན་ཁང་།,2019.0,297,,2563
ནང་།,སུས་ཀྱང་ཁྱོད་ལ་བརྙས་བཅོས་མི་ནུས།,BO3140,EN3140,You Can Overcome Bullying,Nick Vujicic,ཡེ་ཤེས་བསྟན་འཛིན།,,རྒྱ་ཡིག,ཡུན་ནན་རིག་གནས་སྒྱུ་རྩལ་པར་སྐྲུན་ཁང་།,2018.0,232,,1294
ནང་།,རྒྱལ་སྲས་ཀེ་སི་པེན། ,BO2917,EN2917,Prince Caspian,,,,,,,,,2845
ནང་།,ཅིན་ཏཱ་ཀྲུང་གི་རང་རྣམ།,BO2918,EN2918,Conscience in action. The Autobiography of Kim dae-jung,Kim dae-jung,གྲིབ་མ།,ལོ་རྒྱུས།,དབྱིན་ཡིག,ཡུན་ནན་རིག་གནས་སྒྱུ་རྩལ་པར་སྐྲུན་ཁང་།,2019.0,,,364
ནང་།,མི་རྐྱང་གི་སྡེ།,BO7919,EN7919,Men Without Women,,,,,,,,,3236
ནང་།,སོ་ཧྥེ་ཡི་འཇིག་རྟེན། སྟོད་ཆ།,BO7920,EN7920,Sophie’s World: A Novel About the History of Philosophy,,,,རྒྱ་ཡིག,ཡུན་ནན་རིག་གནས་སྒྱུ་རྩལ་པར་སྐྲུན་ཁང་།,2019.0,296,,9551
ནང་།,མཱ་ལ་ལའི་ཉིན་ཐོ།,BO7921,EN7921,malala's diary,,,ཉིན་ཐོ།,དབྱིན་ཇི།,,,,,247
ནང་།,ནུབ་ལུགས་ཀྱི་རི་མོ་འབྲི་སྟངས་ངོ་མཚར་སྣང་བརྙན།,BO7923,EN7923,DRAWING REALISTC PORTRAITS AND FIGID FIGURES,Tenzin Dolma,དཀོན་མཆོག་ཚེ་རིང་། སྐར་མ་སྐྱིད།,རི་མོ།,དབྱིན་ཡིག,མཚོ་སྔོན་མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2011.0,153,,342
ཕྱི།,དབྱིན་སྐད་སྦྱོང་ཚུལ་གྱི་དེབ་ཆུང་།,BO7924,EN7924,pocket phrase book of spoken english,Tenzin Dolma,,,དབྱིན་ཡིག,འབྲས་སྤུངས་སྒོ་མང་དཔེ་མཛོད་ཁང་།,,,,303
ནང་།,དུད་འགྲོའི་གཞིས་ཀ,BO2925,EN2925,Animal Farm ,George Orwell ,ཡར་འབྲོག་པ་སྐལ་བཟང་ཡེ་ཤེས།,སྒྲུང་།,དབྱིན་ཡིག,བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,2016.0,327,,657
ནང་།,ངའི་ཆུར་བ་སུས་ཁྱེར་སོང་།,BO3026,EN3026,Who Moved My Cheese,སི་པིན་སེ་ཡའོ་ཧན་ཞིན།,ཀྲུང་དབྱང་མི་རིགས་སློབ་ཆེན་བོད་རིག་པའི་སློབ་གླིང་ ༢༠༠༦ ལོའི་སྐད་ཡིག་འཛིན་གྲྭ།,,རྒྱ་ཡིག,མི་རིགས་དཔེ་སྐྲུན་ཁང་།,2013.0,137,,521
ནང་།,སྦལ་པ།,BO3027,EN3027,Frog,Mo yan,རྒན་གོང་ཨོ་རྒྱན་རྡོ་རྗེ།,སྒྲུང་།,རྒྱ་ཡིག,བོད་ལྗོངས་མི་དམངས་དཔེ་སྐྲུན་ཁང་།,2018.0,598,,6603
ཕྱི།,ཁྱི་ཤེ་ཌོ།,BO3137,EN3137,Shadow,Michael Morpurgo,ཟླ་བ་ལྷ་མོ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,187,,2022
ཕྱི།,གདོན་འདྲེའི་དུས་ཚིགས།,BO3138,EN3138,A Season of Ghosts ,Ruskin Bond,ཕུར་བུ་བསམ་གྲུབ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,236,,2387
ཕྱི།,གྷ་ལེ་ཝར་གྱི་འགྲུལ་བཞུད།,BO3139,EN3139,Gulliver’s Travels,Jonathan Swift,བཀྲ་ཤིས་རྣམ་རྒྱལ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,,,158
ཕྱི།,ངོ་མཚར་ཆེ་བའི་བུ་ཨོ་གྷ་སིཊ།,BO3029,EN3029,Wonder,R.J. Palacio,བཀྲ་ཤིས་རྣམ་རྒྱལ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,380,,4717
ཕྱི།,ངོ་མཚར་ཆེ་བའི་སྐུ་ཞབས་ཝ།,BO3030,EN3030,Fantastic Mr. Fox,Roald Dahl,,,,,,,,826
ཕྱི།,ཇེན་ཨེ་ཡར།,BO3031,EN3031,Jane Eyre,Charlotte Brontë,ཟླ་བ་ལྷ་མོ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,,,310
ཕྱི།,ཇོ་ཧཱ་ན་སི་བྷག་གྲོང་ཁྱེར་ཉུལ་བ།,BO3032,EN3032,Journey to Jo’burg,Beverley Naidoo,ཕུར་བུ་བསམ་གྲུབ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,91,,810
ཕྱི།,ཌིའུ་ལཱི་ཡི་མཚན་མོའི་མེ་འཁོར།,BO3033,EN3033,The Night Train At Deoli,Ruskin Bond,ཆོས་རྒྱལ་སྐྱབས།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,392,,4130
ཕྱི།,ནགས་ཁྲོད་ཀྱི་སྒྲུང་།,BO3034,EN3034,The Jungle Book,Rudyard Kipling,ཕུར་བུ་བསམ་གྲུབ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,,,238
ཕྱི།,ཕྱེ་མ་ལེབ་ཀྱི་སེང་གེ།,BO3037,EN3037,The Butterfly Lion ,Michael Morpurgo,བཀྲ་ཤིས་རྣམ་རྒྱལ།,སྒྲང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,101,,1025
ཕྱི།,བརྩེ་བའི་དགེ་རྒན་གྱི་དྲུང་དུ།,BO3038,EN3038,To Sir With Love,E.R Braithwaite,ཆོས་རྒྱལ་སྐྱབས།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,305,,3150
ཕྱི།,བྱ་གཏོར།,BO3045,EN3045,Sky Burial,Xinran,ཆོས་རྒྱལ་སྐྱབས།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,240,,2465
ཕྱི།,མུན་ནག་ཁྲོད་ཀྱི་ངོ་གདོང་།,BO3046,EN3046,A Face In The Dark,Ruskin Bond,བཀྲ་ཤིས་རྣམ་རྒྱལ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,191,,2008
ཕྱི།,ཝུ་ཐིང་རིང་གཞིས་ཀ,BO3047,EN3047,Wuthering Heights,Emily Brontë,ཟླ་བ་ལྷ་མོ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2022.0,119,,740
ཕྱི།,རཱོ་བི།,BO3048,EN3048,Cool!,Michael Morpurgo,བཀྲ་ཤིས་རྣམ་རྒྱལ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,78,,1044
ཕྱི།,བུ་མོ་ཆུང་ཆུང།,BO3049,EN3049,Little Women,Louisa May Alcott,བསྟན་འཛིན་ཆོས་སྐྱིད།,,,,,,,64
ཕྱི།,རྫུ་འཕྲུལ་གྱི་མཛུབ་མོ།,BO3051,EN3051,The Magic Finger,,,,,,,,,348
ཕྱི།,སྐུ་ཞབས་དྲི་ངན།,BO3052,EN3052,Mr. Stink,David Walliams,བསྟན་འཛིན་ཆོས་སྐྱིད།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,221,,2246
ཕྱི།,རྒྱལ་སྲས་ཆུང་ཆུང་།,BO3053,EN3053,The Little Prince,Antoine de Saint-Exupéry,ཟླ་བ་ལྷ་མོ།,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,73,,271
ཕྱི།,བདག་གི་ཨ་ཁུ་རྗོལ་ལེ་སཱི། ,BO0673,EN0673,My Uncle Jules by Guy de Maupassant,,,,,,,,,118
ཕྱི།,བོད་ཀྱི་དུས་བབ་གསར་འགྱུར།,BO8822,EN8822,The News on Tibettime,,,གསར་འགྱུར།,བོད་ཡིག,བོད་ཀྱི་དུས་བབ་གསར་ཁང་།,2023.0,,,308
ཕྱི།,དུད་འགྲོའི་གཞིས་ཀ,BO3062,EN3062,Animal Farm,George Orwell ,,སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,2023.0,,,150
ཕྱི།,བཙན་བྱོལ་བོད་མིའི་གཞི་རིམ་གྱི་ཤེས་ཡོན་སྲིད་བྱུས།,BO3131,EN3131,Basic Education Policy for Tibetans,,,ཤེས་ཡོན།,བོད་ཡིག,ཤེས་རིག་ལས་ཁུངས།,,,,220
ཕྱི།,ཚོགས་སྤྱོད་དང་། མྱོང་ཚོར། བཟང་སྤྱོད།,BO3069,EN3069,"Social, Emotional and Ethical Devel",,,བཟང་སྤྱོད།,བོད་ཡིག,ཤེས་རིག་ལས་ཁུངས།,,,,914
ཕྱི།,གསང་བའི་ལྡུམ་ར།,BO3071,EN3071,The Secret Garden by Frances Hodgson Burnett,Frances Hodgson Burnett,ཕུར་བུ་བསམ་གྲུབ།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,,,,351
ཕྱི།,བཙན་ཁྲིད།,BO3072,EN3072,kidnapped by Robert lavis Stevenson,Robert lavis Stevenson,ཟླ་བ་ལྷ་མོ།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,,,,348
ནང་།,ཙག་སྒྲ་འཚོང་མཁན་གྱི་བུ་མོ་ཆུང་ཆུང་། ,BO3073,EN3073,The Little Match Girl,,,སྒྲུང་ཐུང་།,རྒྱ་ཡིག,,,,,435
ནང་།,ཧ་མི་ལིན་གྱི་གླིང་བུ་འབུད་མཁན།,BO3075,EN3075,Pied Piper of Hamelin,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,80
ནང་།,ཕི་ནུ་ཁེའོ།,BO3126,EN3126,Pinocchio,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,103
ནང་།,མཐེ་བོང་བུ་མོ།,BO3127,EN3127,Thumbelina,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,71
ནང་།,ཨ་ལོ་སེ་ངོ་མཚར་བའི་ཡུལ་དུ་བསྐྱོད་པ།,BO3078,EN3078,Alice's adventures in Wonderland,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,119
ནང་།,ཧའེ་ལྡེ།,BO3079,EN3079,Heidi,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,142
ནང་།,གྷ་ལི་ཝར་གྱི་འགྲུལ་བཞུད།,BO3080,EN3080,Gulliver's travels,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,101
ནང་།,རྟ་ནག་ཅང་ཤེས།,BO3081,EN3081,Black Beauty,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,113
ནང་།,རེ་ཕན་ཛལ།,BO3122,EN3122,Rapunzel,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,49
ནང་།,ནགས་ཚལ་གྱི་གཏམ་རྒྱུད།,BO3124,EN3124,Jungle Book,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,102
ནང་།,བྱེའུ་འཇོལ་མོ།,BO3085,EN3085,Nightingale,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,80
ནང་།,སྙིང་སྟོབས་ཆེ་བའི་ལྕགས་དམག,BO3086,EN3086,The Brave Tin Soldier,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,6
ནང་།,ཡིད་འཕྲོག་མ་དང་བདུད་རྒན།,BO3087,EN3087,Beauty and the Beast,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,64
ནང་།,ཕེ་ཊར་ཕན།,BO3088,EN3088,Peter Pan,,བསྟན་འཛིན་རིག་བཟང༌།,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཀྲུང་གོའི་ཤེས་རིག་དཔེ་སྐྲུན་ཁང་།,2020.0,30,,105
ཕྱི།,ཨརྱན་འབྲོག་པའི་ལོ་རྒྱུས་ཤིན་ཏུ་བསྡུས་པ།,BO3090,EN3090,A BRIEF HISTORY OF THE ARYAN BROKPAS,,,ལོ་རྒྱུས།,དབྱིན་ཡིག,,2022.0,37,,109
ཕྱི།,མ་འོངས་བོད་ཀྱི་འགན་སྲུང་། ,BO3091,EN3091,Securing Tibet’s Future,,,,,བོད་མིའི་སྒྲིག་འཛུགས་བཀའ་ཤག,2023.0,,,304
ཕྱི།,སློབ་གསོའི་གནད་དོན།,BO3117,EN3117,Think on these things ,J.krishnamurti ཀི་ཤ་ན་མུར་ཏི།,བསོད་ནམས་རྒྱལ།,སློབ་གསོ།,དབྱིན་ཡིག,བོད་ཀྱི་སྒྲ་སྒྱུར་ཉམས་ཞིབ་ལྷན་ཁང་།,2023.0,,,140
ཕྱི།,གཏོང་ཕོད་ཅན་གྱི་ལྗོན་ཤིང་།,BO2843,EN2843,The Giving Tree,,,བྱིས་སྒྲུང་།,དབྱིན་ཡིག,ཤེས་རིག་ལས་ཁུངས།,,,,27
